,created_at,id,full_text,cleaned_text,entities,retweet_count,favorite_count,CountyId,user_name,user_followers_count,user_friends_count,user_listed_count,favourites_count,user_location,geo,neg,neu,pos,compound
0,2020-03-15 20:40:37+00:00,1239290428219744256,No one on the platform this afternoon. #sfmuni #socialdistancing @ Montgomery Street Station https://t.co/m5gaeXffXI,"one platform afternoon sfmuni socialdistancing montgomery street station
","{'hashtags': [{'text': 'sfmuni', 'indices': [39, 46]}, {'text': 'socialdistancing', 'indices': [47, 64]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m5gaeXffXI', 'expanded_url': 'https://www.instagram.com/p/B9xJ5e4h01U/?igshid=xghcz7fmu4w1', 'display_url': 'instagram.com/p/B9xJ5e4h01U/…', 'indices': [93, 116]}]}",0,1,6081.0,Terri Steffen,20,81,2,255,"San Francisco, CA","[-122.402, 37.7894]",0.0,1.0,0.0,0.0
1,2020-03-15 20:41:13+00:00,1239290579516903425,Hi to all our wonderful followers. We have always been so very grateful to our community and the USA and with that in mind we will be closing to heed the expert advice of the CDC. We know we will weather this all… https://t.co/qRq07LqBQw,"hi wonderful followers always grateful community usa mind closing heed expe advice cdc know weather all…
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qRq07LqBQw', 'expanded_url': 'https://www.instagram.com/p/B9xJ9y3HuKS/?igshid=uennzxupd0ab', 'display_url': 'instagram.com/p/B9xJ9y3HuKS/…', 'indices': [214, 237]}]}",0,0,,Bonny Neiman,9,0,0,0,,"[-74.3576, 40.718]",0.0,0.676,0.324,0.7717
2,2020-03-15 20:41:22+00:00,1239290616984547328,"Probably not a safer place to walk on this bright sunny day. Just us, a few more people than usual and the deer. #sundaystroll #cemetery #peaceful #rosehillcemetery #socialdistancing @ Rosehill Cemetery https://t.co/pIDayvV2s2","probably safer place walk bright sunny day us people usual deer sundaystroll cemetery peaceful rosehillcemetery socialdistancing rosehill cemetery
","{'hashtags': [{'text': 'sundaystroll', 'indices': [113, 126]}, {'text': 'cemetery', 'indices': [127, 136]}, {'text': 'peaceful', 'indices': [137, 146]}, {'text': 'rosehillcemetery', 'indices': [147, 164]}, {'text': 'socialdistancing', 'indices': [165, 182]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pIDayvV2s2', 'expanded_url': 'https://www.instagram.com/p/B9xJ-1rhuPe/?igshid=9d7qw39qfe59', 'display_url': 'instagram.com/p/B9xJ-1rhuPe/…', 'indices': [203, 226]}]}",0,0,17031.0,Steven Anderson,357,653,33,194,Chicago,"[-87.67526984, 41.98679361]",0.0,0.545,0.455,0.8934
3,2020-03-01 01:59:51+00:00,1233934949192880128,"current weather in Corona: clear sky, 59°F
42% humidity, wind 767mph, pressure 1015mb","current weather clear sky °f humidity wind mph pressure mb
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",0,0,6065.0,Corona Weather,107,1,6,0,"Corona, CA","[-117.58, 33.88]",0.172,0.625,0.203,0.1027
4,2020-03-01 01:50:59+00:00,1233932714673201153,Corona: 5:46pm: sunset,"pm sunset
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",0,0,6065.0,Corona Weather,107,1,6,0,"Corona, CA","[-117.58, 33.88]",0.0,1.0,0.0,0.0
5,2020-03-01 01:44:38+00:00,1233931118916907008,"New confirmed case of coronavirus at Northwest Community Hospital in Arlington Heights, IL https://t.co/YBUQVYTdB4","new confirmed case nohwest community hospital arlington heights il
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YBUQVYTdB4', 'expanded_url': 'https://www.pscp.tv/w/cSm5bDExODgwODc2fDF5bkpPcFhtRU9xeFImJRuimGnEwBBJC_QbBRdrbC_YpCFGW5sS9LdVeC8idg==', 'display_url': 'pscp.tv/w/cSm5bDExODgw…', 'indices': [91, 114]}]}",4,7,17031.0,Joshua Belanger,12991,300,419,769,"Chicago, IL","[-87.6200418, 41.8969857]",0.0,1.0,0.0,0.0
6,2020-03-01 01:44:34+00:00,1233931100759588865,Thoughts? San Francisco :: First US coronavirus death reported in Washington state - San Francisco Chronicle: First US coronavirus death reported in Washington state  San Francisco Chronicle https://t.co/v39p26IJNN #JeffDuchin #CarsonMa #AnthonyFauci #NancyMessonnier #Trump,"thoughts san francisco first us death repoed washington state san francisco chronicle first us death repoed washington state san francisco chronicle jeffduchin carsonma anthonyfauci nancymessonnier trump
","{'hashtags': [{'text': 'JeffDuchin', 'indices': [215, 226]}, {'text': 'CarsonMa', 'indices': [227, 236]}, {'text': 'AnthonyFauci', 'indices': [237, 250]}, {'text': 'NancyMessonnier', 'indices': [251, 267]}, {'text': 'Trump', 'indices': [268, 274]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v39p26IJNN', 'expanded_url': 'http://dlvr.it/RR0w93', 'display_url': 'dlvr.it/RR0w93', 'indices': [191, 214]}]}",0,0,6081.0,Shaun Haines 力是亮,0,4970,0,7468,"San Francisco, CA","[-122.4190191, 37.7485909]",0.245,0.755,0.0,-0.8316
7,2020-03-01 01:01:43+00:00,1233920319263576065,"This is the only way to fight of the virus, you must inoculate yourself. - Drinking a Corona Extra by @GrupoModelo_MX @ Fowling Warehouse Grand Rapids  — https://t.co/RqoPHqB9rk","way fight must inoculate drinking extra grupomodelomx fowling warehouse grand rapids —
","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GrupoModelo_MX', 'name': 'Grupo Modelo MX', 'id': 3243569882, 'id_str': '3243569882', 'indices': [102, 117]}], 'urls': [{'url': 'https://t.co/RqoPHqB9rk', 'expanded_url': 'http://untp.beer/s/c872958284', 'display_url': 'untp.beer/s/c872958284', 'indices': [154, 177]}]}",0,2,31067.0,Larry Wietfeldt,19,200,4,34,"Rockford, Michigan ","[-85.499, 42.9159]",0.178,0.616,0.205,0.1027
8,2020-03-17 07:00:09+00:00,1239808727164817409,"Staying positive and celebrating another trip around the sun with some donuts. 🙏🏽🍩🍀
.
#StPatricksDay #KobeYear #24 #HappyBirthdayToMe #Birthday #COVID19 #ShelterInPlace #SelfQuarantine #Donuts #Doughnuts @ San… https://t.co/DOrpCdVR04","staying positive celebrating another trip around sun donuts 🙏🏽🍩🍀 stpatricksday kobeyear happybihdaytome bihday shelterinplace selfquarantine donuts doughnuts san…
","{'hashtags': [{'text': 'StPatricksDay', 'indices': [86, 100]}, {'text': 'KobeYear', 'indices': [101, 110]}, {'text': 'HappyBirthdayToMe', 'indices': [115, 133]}, {'text': 'Birthday', 'indices': [134, 143]}, {'text': 'COVID19', 'indices': [144, 152]}, {'text': 'ShelterInPlace', 'indices': [153, 168]}, {'text': 'SelfQuarantine', 'indices': [169, 184]}, {'text': 'Donuts', 'indices': [185, 192]}, {'text': 'Doughnuts', 'indices': [193, 203]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DOrpCdVR04', 'expanded_url': 'https://www.instagram.com/p/B901l_3A6Op/?igshid=1rbt9c1q78e5m', 'display_url': 'instagram.com/p/B901l_3A6Op/…', 'indices': [211, 234]}]}",0,0,6001.0,Phillip Lagua,266,254,1,29602,"San Leandro, CA","[-122.153, 37.7107]",0.0,0.687,0.313,0.8074
9,2020-03-17 07:21:27+00:00,1239814087036583937,Well Protected In The Front Line We Will Beat This COVID-19 CoronaVirus ...🙏🏻🙏🏻🙏🏻....Nough Said @ Ronald Reagan UCLA Medical Center https://t.co/OmphMMd4pY,"well protected front line beat 🙏🏻🙏🏻🙏🏻nough said ronald reagan ucla medical center
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OmphMMd4pY', 'expanded_url': 'https://www.instagram.com/p/B904B_WJiU8rIjH6YCAWAAyI3gXTwp9N762ItA0/?igshid=ztgb7bmctjfa', 'display_url': 'instagram.com/p/B904B_WJiU8r…', 'indices': [132, 155]}]}",0,1,6037.0,Juan Reynoso (Huero),140,118,4,30,"Lawndale, CA","[-118.4462537, 34.06593064]",0.0,0.667,0.333,0.6124
