created_at,id,full_text,cleaned_text,entities,retweet_count,favorite_count,CountyId,user_name,user_followers_count,user_friends_count,user_listed_count,favourites_count,user_location,geo
2020-04-03 05:00:10+00:00,1245939125850705921,I have been craving donuts..........😷. Just have to stay home.... https://t.co/TDFyrIuYXe,"craving donuts😷 stay home
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1245939124567244801, 'id_str': '1245939124567244801', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/EUp3CFOXgAEnY7Y.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUp3CFOXgAEnY7Y.jpg', 'url': 'https://t.co/TDFyrIuYXe', 'display_url': 'pic.twitter.com/TDFyrIuYXe', 'expanded_url': 'https://twitter.com/Hairbyangel/status/1245939125850705921/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'small': {'w': 640, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 480, 'resize': 'fit'}}}]}",0,0,6037,Angel Mendoza,271,455,9,1235,"Palmdale, CA","[-118.1651234, 34.5643567]"
2020-04-03 05:01:55+00:00,1245939566672035841,"Dinner “...in time of Corona” Just made another street corner market run...RedBulls • H2O • Milk • Fruit •  Toilet Paper: just the absolute necessities 😋 @ Tenderloin, San Francisco https://t.co/yq9S9Qoilp","dinner “ time ” made another street corner market runredbulls • ho • milk • fruit • toilet paper absolute necessities 😋 tenderloin san francisco
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yq9S9Qoilp', 'expanded_url': 'https://www.instagram.com/p/B-gZHdzAaNy/?igshid=tf4ub0l0o235', 'display_url': 'instagram.com/p/B-gZHdzAaNy/…', 'indices': [182, 205]}]}",0,0,6075,Richard Santos,1287,4105,6,22400,"San Francisco, CA, USA","[-122.41484577, 37.78410157]"
2020-04-03 05:25:34+00:00,1245945516657004546,"#AdamSandler #TonightShowStarringJimmyFallon #Coronavirus Adam Sandler's new song is a hilarious tribute to doctors, nurses, and being sick of your family https://t.co/FNYvlRVvKg https://t.co/Jt3QzWP4m1","adamsandler tonightshowstarringjimmyfallon adam sandlers new song hilarious tribute doctors nurses sick family
","{'hashtags': [{'text': 'AdamSandler', 'indices': [0, 12]}, {'text': 'TonightShowStarringJimmyFallon', 'indices': [13, 44]}, {'text': 'Coronavirus', 'indices': [45, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FNYvlRVvKg', 'expanded_url': 'http://dlvr.it/RT4s0n', 'display_url': 'dlvr.it/RT4s0n', 'indices': [155, 178]}], 'media': [{'id': 1245945514853429255, 'id_str': '1245945514853429255', 'indices': [179, 202], 'media_url': 'http://pbs.twimg.com/media/EUp82C5UcAc5rzh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUp82C5UcAc5rzh.jpg', 'url': 'https://t.co/Jt3QzWP4m1', 'display_url': 'pic.twitter.com/Jt3QzWP4m1', 'expanded_url': 'https://twitter.com/Principal_IT/status/1245945516657004546/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}",0,0,12011,Principal-IT,625,1605,3,13,"Miramar, FL","[-80.28091469, 25.97734614]"
2020-04-03 05:48:30+00:00,1245951289923710976,"Quaran-Pigged! New #Youtube video up on my channel.... link in profile. #pigsofinstagram #quarantinelife #quarantine #grantspass #oregon @ Grants Pass, Oregon https://t.co/QuHADsY79e","quaranpigged new youtube video channel link profile pigsofinstagram quarantinelife quarantine grantspass oregon grants pass oregon
","{'hashtags': [{'text': 'Youtube', 'indices': [19, 27]}, {'text': 'pigsofinstagram', 'indices': [72, 88]}, {'text': 'quarantinelife', 'indices': [89, 104]}, {'text': 'quarantine', 'indices': [105, 116]}, {'text': 'grantspass', 'indices': [117, 128]}, {'text': 'oregon', 'indices': [129, 136]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QuHADsY79e', 'expanded_url': 'https://www.instagram.com/p/B-ge6FXA6T-/?igshid=115ljnzicgsj0', 'display_url': 'instagram.com/p/B-ge6FXA6T-/…', 'indices': [159, 182]}]}",0,1,41033,Auntie Lindsey,550,913,53,175,"Grants Pass, OR","[-123.3273, 42.4386]"
2020-04-02 09:06:51+00:00,1245638817639358464,#socialdistance #socialdistancing #quarantine #quarantinelife #Covid19 #dj #djs #music #chicago #southside #text #texting #iphone #apple #morning #thursday #thursdaymorning #isolation #stayhome #lorilightfoot… https://t.co/pBDwQQV7KC,"socialdistance socialdistancing quarantine quarantinelife dj djs music chicago southside text texting iphone apple morning thursday thursdaymorning isolation stayhome lorilightfoot…
","{'hashtags': [{'text': 'socialdistance', 'indices': [0, 15]}, {'text': 'socialdistancing', 'indices': [16, 33]}, {'text': 'quarantine', 'indices': [34, 45]}, {'text': 'quarantinelife', 'indices': [46, 61]}, {'text': 'Covid19', 'indices': [62, 70]}, {'text': 'dj', 'indices': [71, 74]}, {'text': 'djs', 'indices': [75, 79]}, {'text': 'music', 'indices': [80, 86]}, {'text': 'chicago', 'indices': [87, 95]}, {'text': 'southside', 'indices': [96, 106]}, {'text': 'text', 'indices': [107, 112]}, {'text': 'texting', 'indices': [113, 121]}, {'text': 'iphone', 'indices': [122, 129]}, {'text': 'apple', 'indices': [130, 136]}, {'text': 'morning', 'indices': [137, 145]}, {'text': 'thursday', 'indices': [146, 155]}, {'text': 'thursdaymorning', 'indices': [156, 172]}, {'text': 'isolation', 'indices': [173, 183]}, {'text': 'stayhome', 'indices': [184, 193]}, {'text': 'lorilightfoot', 'indices': [194, 208]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pBDwQQV7KC', 'expanded_url': 'https://www.instagram.com/p/B-eQz9ljhU8/?igshid=pa0z84wa5jwz', 'display_url': 'instagram.com/p/B-eQz9ljhU8/…', 'indices': [210, 233]}]}",0,0,17031,115 Bourbon Street,39,65,0,27,"Merrionette Park, IL","[-87.632496, 41.883222]"
2020-04-02 09:33:46+00:00,1245645591893303296,"DON'T PANIC 
My husband banyan_13 is going to get his #hitchhikersguidetothegalaxy #sleevetattoo started soon thanks to the #quarantinelife. I haven't give him a long #tattoosession in a while and we're so excited to… https://t.co/3g1EbAsJdT","dont panic husband banyan going get hitchhikersguidetothegalaxy sleevetattoo staed soon thanks quarantinelife havent give long tattoosession excited to…
","{'hashtags': [{'text': 'hitchhikersguidetothegalaxy', 'indices': [54, 82]}, {'text': 'sleevetattoo', 'indices': [83, 96]}, {'text': 'quarantinelife', 'indices': [124, 139]}, {'text': 'tattoosession', 'indices': [167, 181]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3g1EbAsJdT', 'expanded_url': 'https://www.instagram.com/p/B-eT5GcpGyB/?igshid=ey9wbfrn51s1', 'display_url': 'instagram.com/p/B-eT5GcpGyB/…', 'indices': [218, 241]}]}",0,0,,Vera Lugo Audirac,50,34,2,9,,"[-122.3308, 47.6046]"
2020-04-02 09:54:52+00:00,1245650901966024706,"We’re getting the hang of things. #stayhome #day18 #quarantinelife #boxersofinstagram #jazz @ Dallas, Texas https://t.co/fZoRhMtXuf","’ getting hang things stayhome day quarantinelife boxersofinstagram jazz dallas texas
","{'hashtags': [{'text': 'stayhome', 'indices': [34, 43]}, {'text': 'day18', 'indices': [44, 50]}, {'text': 'quarantinelife', 'indices': [51, 66]}, {'text': 'boxersofinstagram', 'indices': [67, 85]}, {'text': 'jazz', 'indices': [86, 91]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fZoRhMtXuf', 'expanded_url': 'https://www.instagram.com/p/B-eWTk_Bu4o/?igshid=1r59mbpv691cy', 'display_url': 'instagram.com/p/B-eWTk_Bu4o/…', 'indices': [108, 131]}]}",0,0,22015,Morgan Fayard,175,606,6,1098,Bossier City,"[-96.7977, 32.7774]"
2020-04-02 09:56:09+00:00,1245651224977788932,"I know this isn't Thanksgiving, but just to break the monotony of #covid19, what is one thing (or you can list more than one if you want), that you're thankful for especially during this time? #ThankfulThursday  @1590WAKR","know isnt thanksgiving break monotony one thing list one want youre thankful especially time thankfulthursday wakr
","{'hashtags': [{'text': 'covid19', 'indices': [66, 74]}, {'text': 'ThankfulThursday', 'indices': [193, 210]}], 'symbols': [], 'user_mentions': [{'screen_name': '1590WAKR', 'name': 'WAKR', 'id': 15582417, 'id_str': '15582417', 'indices': [212, 221]}], 'urls': []}",0,0,39153,Cindy Detro,738,2739,14,762,"Akron, OH","[-81.49074454, 41.06781846]"
2020-04-09 19:07:37+00:00,1248326721079631877,#MainstreamMedia has been pushing the narrative that #Fauci keeps flip flopping about in regard to #covid19 #coronavirus. Now more and more doctors are speaking up about instructions sent to them to falsify… https://t.co/lm0cE50XzY,"mainstreammedia pushing narrative fauci keeps flip flopping regard doctors speaking instructions sent falsify…
","{'hashtags': [{'text': 'MainstreamMedia', 'indices': [0, 16]}, {'text': 'Fauci', 'indices': [53, 59]}, {'text': 'covid19', 'indices': [99, 107]}, {'text': 'coronavirus', 'indices': [108, 120]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lm0cE50XzY', 'expanded_url': 'https://www.instagram.com/p/B-xU6EfH1e2/?igshid=cuqmvapjuk3o', 'display_url': 'instagram.com/p/B-xU6EfH1e2/…', 'indices': [208, 231]}]}",0,0,6037,Angel City TV,203,474,13,567,"Los Angeles, California","[-118.2445, 34.0564]"
2020-04-09 19:29:44+00:00,1248332286958977026,"My idea of portion control .. It all fits on one plate!

Cheers!

#breakfast #lockdown #stayfit #staystrong @ Bushwick, Brooklyn https://t.co/JOtVWtgT4C","idea poion control fits one plate cheers breakfast lockdown stayfit staystrong bushwick brooklyn
","{'hashtags': [{'text': 'breakfast', 'indices': [66, 76]}, {'text': 'lockdown', 'indices': [77, 86]}, {'text': 'stayfit', 'indices': [87, 95]}, {'text': 'staystrong', 'indices': [96, 107]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JOtVWtgT4C', 'expanded_url': 'https://www.instagram.com/p/B-xZqUrDChQ/?igshid=1jlmghrdmq88y', 'display_url': 'instagram.com/p/B-xZqUrDChQ/…', 'indices': [129, 152]}]}",0,0,36061,Michael A. Whitney,121,189,3,270,NYC,"[-73.92027413, 40.69571377]"
